id,timestamp1,source,actiontag,event_id,event_type,event_category,event_author,eventcreated,change_id,change_source,changetimestamp,change_targetasrobject_id,change_targetasrobject_origin,change_targetasrobject_destination,change_targetasrobject_flightnumber,change_targetasrobject_carrier,scheduledstart,scheduledend,change_attributes_last_aircraft_assigned,eobt,eibt,change_attributes_last_delay_applied,change_attributes_last_delay_on_arrival_applied
PLAN_MAINT-INT_190509T21:12__aooQLjk,19:08.0,gui:146493:actiontag:Create Maintenance~!~VHTQD~!~VHTQD~!~Local__9wVBVeM,Create Maintenance~,PLAN_MAINT-INT_190509T21:12,MAINT-INT,PLAN,799623,12:04.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35__rm5UjGI,gui:146493:actiontag:Create Maintenance~!~VHTQD~!~VHTQD~!~Local__9wVBVeM,19:05.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35,,,,QF,05:00.0,35:00.0,,,,,
PLAN_MAINT-INT_190509T21:12__jS6u1sI,21:04.0,gui:146493:actiontag:Delay End Maintenance~!~VHTQD~!~155 Mins.~!~Local__Ys6nsJE,Delay End Maintenance~,PLAN_MAINT-INT_190509T21:12,MAINT-INT,PLAN,799623,12:04.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35__IwtBV8w,gui:146493:actiontag:Delay End Maintenance~!~VHTQD~!~155 Mins.~!~Local__Ys6nsJE,21:00.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35,,,,QF,05:00.0,35:00.0,,,,,
PLAN_MAINT-INT_190509T21:12__eqNQw9M,29:55.0,gui:146493:actiontag:Delay End Maintenance~!~VHTQD~!~-100 Mins.~!~Local__U2_jh9Y,Delay End Maintenance~,PLAN_MAINT-INT_190509T21:12,MAINT-INT,PLAN,799623,12:04.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35__79meaxc,gui:146493:actiontag:Delay End Maintenance~!~VHTQD~!~-100 Mins.~!~Local__U2_jh9Y,29:45.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35,,,,QF,05:00.0,35:00.0,,,,,
PLAN_MAINT-INT_190509T21:12__c5D_0sk,29:55.0,gui:146493:actiontag:Cancel Maintenance~!~VHTQD~!~ - ~!~Local__7ryd7aA,Cancel Maintenance~,PLAN_MAINT-INT_190509T21:12,MAINT-INT,PLAN,799623,12:04.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35__j_tJfgw,gui:146493:actiontag:Cancel Maintenance~!~VHTQD~!~ - ~!~Local__7ryd7aA,29:49.0,wnwbgaU_NSN_QF_190510T03:05_190510T03:35,,,,QF,05:00.0,35:00.0,,,,,
PLAN_MAINT-DOM_190507T20:45__g5lcY54,16:58.0,gui:356900:actiontag:Create Maintenance~!~VHVZP~!~VHVZP~!~Local__e2nh-zE,Create Maintenance~,PLAN_MAINT-DOM_190507T20:45,MAINT-DOM,PLAN,356900,45:12.0,wrd47LI_MEL_QF_190515T11:00_190515T19:00__SB2h2pE,gui:356900:actiontag:Create Maintenance~!~VHVZP~!~VHVZP~!~Local__e2nh-zE,16:54.0,wrd47LI_MEL_QF_190515T11:00_190515T19:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_MAINT-DOM_190513T20:30__-cgORHM,41:06.0,gui:scr11:actiontag:Move Maintenance~!~VHVZP~!~121 Mins.~!~Local__0k_YWOc,Move Maintenance~,PLAN_MAINT-DOM_190513T20:30,MAINT-DOM,PLAN,345090,30:32.0,wrd47LI_MEL_QF_190515T11:00_190515T19:00__MmlrTjY,gui:scr11:actiontag:Move Maintenance~!~VHVZP~!~121 Mins.~!~Local__0k_YWOc,37:26.0,wrd47LI_MEL_QF_190515T11:00_190515T19:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_MAINT-DOM_190513T20:30__foMF_kY,41:06.0,gui:scr11:actiontag:Delay End Maintenance~!~VHVZP~!~-94 Mins.~!~Local__9Yga0bM,Delay End Maintenance~,PLAN_MAINT-DOM_190513T20:30,MAINT-DOM,PLAN,345090,30:32.0,wrd47LI_MEL_QF_190515T11:00_190515T19:00__sEnWVCs,gui:scr11:actiontag:Delay End Maintenance~!~VHVZP~!~-94 Mins.~!~Local__9Yga0bM,37:30.0,wrd47LI_MEL_QF_190515T11:00_190515T19:00,,,,QF,00:00.0,00:00.0,,,,,
PLAN_MAINT-DOM_190512T00:14__-MjmhIU,33:19.0,gui:911188:actiontag:Create Maintenance~!~VHVXB~!~VHVXB~!~Local__hJNHSQE,Create Maintenance~,PLAN_MAINT-DOM_190512T00:14,MAINT-DOM,PLAN,768814,14:31.0,wsynodc_SYD_QF_190513T06:30_190513T07:30__ZkqkRJY,gui:911188:actiontag:Create Maintenance~!~VHVXB~!~VHVXB~!~Local__hJNHSQE,33:12.0,wsynodc_SYD_QF_190513T06:30_190513T07:30,,,,QF,30:00.0,30:00.0,,,,,
MECH-QLK_AOG_VHSBT_190511T22:03__3WhQfpg,08:30.0,gui:cre27:actiontag:Create Maintenance~!~VHTQZ~!~VHTQZ~!~Local__-hOngpw,Create Maintenance~,MECH-QLK_AOG_VHSBT_190511T22:03,AOG,MECH-QLK,cre27,03:24.0,wt_1zzw_ADL_QF_190513T03:45_190513T04:40__weq3Q-Q,gui:cre27:actiontag:Create Maintenance~!~VHTQZ~!~VHTQZ~!~Local__-hOngpw,08:20.0,wt_1zzw_ADL_QF_190513T03:45_190513T04:40,,,,QF,45:00.0,40:00.0,,,,,
MECH-QLK_AOG_VHSBT_190511T22:03__rs9bWDw,08:30.0,gui:cre27:actiontag:Move Maintenance~!~VHTQZ~!~-12 Mins.~!~Local__5LT7BZk,Move Maintenance~,MECH-QLK_AOG_VHSBT_190511T22:03,AOG,MECH-QLK,cre27,03:24.0,wt_1zzw_ADL_QF_190513T03:45_190513T04:40__Wm4-M-Y,gui:cre27:actiontag:Move Maintenance~!~VHTQZ~!~-12 Mins.~!~Local__5LT7BZk,08:27.0,wt_1zzw_ADL_QF_190513T03:45_190513T04:40,,,,QF,45:00.0,40:00.0,,,,,
PLAN-QLK_ALL_190429T23:20__gXqTXOA,58:57.0,gui:195179:actiontag:Move Maintenance~!~VHLQL~!~-2953 Mins.~!~Local__7EnZsbE,Move Maintenance~,PLAN-QLK_ALL_190429T23:20,ALL,PLAN-QLK,dco97,20:23.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00__4U4jLnI,gui:195179:actiontag:Move Maintenance~!~VHLQL~!~-2953 Mins.~!~Local__7EnZsbE,58:40.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00,,,,QF,30:00.0,00:00.0,,,,,
PLAN-QLK_ALL_190430T08:23__TiC9Bq4,01:30.0,gui:188421:actiontag:Move Maintenance~!~VHLQL~!~2950 Mins.~!~Local__9NS9b0I,Move Maintenance~,PLAN-QLK_ALL_190430T08:23,ALL,PLAN-QLK,176171,23:17.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00__M55uiSk,gui:188421:actiontag:Move Maintenance~!~VHLQL~!~2950 Mins.~!~Local__9NS9b0I,01:17.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00,,,,QF,30:00.0,00:00.0,,,,,
PLAN-QLK_ALL_190430T08:23__PG0bxz4,29:21.0,gui:190087:actiontag:Move Maintenance~!~VHLQL~!~36 Mins.~!~Local__U8-Bd_s,Move Maintenance~,PLAN-QLK_ALL_190430T08:23,ALL,PLAN-QLK,176171,23:17.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00__Ip3XlfY,gui:190087:actiontag:Move Maintenance~!~VHLQL~!~36 Mins.~!~Local__U8-Bd_s,28:59.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00,,,,QF,30:00.0,00:00.0,,,,,
PLAN-QLK_ALL_190430T08:23__LETUr4Q,29:21.0,gui:190087:actiontag:Move Maintenance~!~VHLQL~!~-12 Mins.~!~Local__V34ZpuA,Move Maintenance~,PLAN-QLK_ALL_190430T08:23,ALL,PLAN-QLK,176171,23:17.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00__L-gNMhc,gui:190087:actiontag:Move Maintenance~!~VHLQL~!~-12 Mins.~!~Local__V34ZpuA,29:06.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00,,,,QF,30:00.0,00:00.0,,,,,
PLAN-QLK_ALL_190505T20:31__1kr2eK4,28:34.0,gui:188421:actiontag:Move Maintenance~!~VHLQL~!~-1478 Mins.~!~Local__eoFCrAo,Move Maintenance~,PLAN-QLK_ALL_190505T20:31,ALL,PLAN-QLK,176171,31:42.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00__t7yYFlo,gui:188421:actiontag:Move Maintenance~!~VHLQL~!~-1478 Mins.~!~Local__eoFCrAo,27:25.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00,,,,QF,30:00.0,00:00.0,,,,,
PLAN-QLK_ALL_190506T08:14__l4quYGY,55:50.0,gui:198168:actiontag:Update Maintenance~!~VHLQL~!~ - ~!~Local__dCFUOEc,Update Maintenance~,PLAN-QLK_ALL_190506T08:14,ALL,PLAN-QLK,196474,14:13.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00__Zrmu8v0,gui:198168:actiontag:Update Maintenance~!~VHLQL~!~ - ~!~Local__dCFUOEc,55:47.0,wx2r55s_BNE_QF_190507T08:30_190507T13:00,,,,QF,30:00.0,00:00.0,,,,,
PLAN-QLK_ALL_190509T21:52__02J8YQ4,34:17.0,gui:190087:actiontag:Create Maintenance~!~VHQOY~!~VHQOY~!~Local__nZhoZR8,Create Maintenance~,PLAN-QLK_ALL_190509T21:52,ALL,PLAN-QLK,195179,52:52.0,wxaZbzA_SYD_QF_190521T02:00_190521T03:00__qRzCJkg,gui:190087:actiontag:Create Maintenance~!~VHQOY~!~VHQOY~!~Local__nZhoZR8,34:14.0,wxaZbzA_SYD_QF_190521T02:00_190521T03:00,,,,QF,00:00.0,00:00.0,,,,,
