rego,fleet,fleet_subtype
N933AN,737,738
RPC8786,330,333
VHFKV,F50,F50
A6EDQ,380,388
BKQH,777,77W
C670,767,76W
N684JW,ERJ,ER4
N835AW,319,319
N9019F,319,319
RPC8785,330,333
VHNJZ,146,14Z
VHSCE,DH8,DH3
A6EPJ,777,77W
B18361,330,333
BKQM,777,77W
N649AW,32S,320
N956UW,E90,E90
VH21JJ,320,320
VHNHZ,100,100
VNA897,350,359
A6EDD,380,388
B18905,350,359
BLAO,330,333
N128UW,319,319
N719SK,CR7,CR7
N788AN,777,772
VHVFN,320,320
ZKOJD,32S,320
AC701,777,77L
N109NN,32S,32B
N164NN,321,321
N173AN,757,757
VHEBV,330,332
VHQOF,DH8,DH4
VHUQG,100,100
B2038,777,773
BKQA,777,77W
N194AA,757,757
N583UW,321,321
N730US,319,319
N736AT,777,77W
N839AW,319,319
N922NN,737,738
N995NN,737,738
B2086,777,773
N572UW,321,321
N650AE,ERJ,ER4
N813NN,737,738
N989AN,737,738
VHVGN,320,320
VHVZL,737,73H
B6516,330,332
CCBAM,32S,320
CFVLO,787,788
E6EDJ,380,388
N200UU,757,752
N677AN,757,757
A6EUY,380,388
CFVNB,787,788
N835NN,737,738
SBI,DH8,DH3
VHNXO,717,717
VHONU,737,733
VHVXL,737,73H
B18907,350,359
BLJD,747,744
N523UW,321,321
N608QX,CR7,CR7
N659AW,32S,320
N829AW,319,319
N932AN,737,738
P2ANS,F70,F70
P2NAT,DH8,DH8
ZKNNC,32S,32Q
A6EOS,380,388
B5977,330,333
N288AY,330,332
N615AE,ERJ,ER4
N915US,321,321
VNA868,787,788
N109HQ,EMJ,E75
N248NN,EMJ,E75
N718EV,CR7,CR7
N749US,319,319
N770UW,319,319
N853AE,ERD,ERD
N922US,321,321
VHVGR,320,320
CCBAT,32S,320
CFIUR,777,77L
N192AN,767,763
N655AE,ERJ,ER4
N964AN,737,738
ZKZQB,737,73H
B7881,777,773
N132HQ,EMJ,E75
N339PL,737,738
N661AW,319,319
N830AN,787,789
N864NN,737,738
CCCQM,32S,320
N928AE,ERJ,ER4
N998AN,321,321
VHVGJ,320,320
N902AA,321,321
N932NN,737,738
N957UW,E90,E90
ZSSNH,340,343
763EV,CR7,CR7
A6EOG,380,388
B18461,330,333
BLAC,330,333
BLRL,350,359
N160AN,321,321
N286AY,330,332
N429YX,EMJ,E75
N766AN,777,772
N844AE,ERD,ERD
N973UY,321,321
VHVKK,787,788
A6EPA,777,77W
BKPD,777,77W
C257,737,73W
C425,DH8,DH4
CCBGN,787,789
HL7597,777,772
N245NN,EMJ,E75
N253NN,EMJ,E75
N780AN,777,772
N918NN,737,738
VHVXI,737,73H
ZKOJO,32S,320
A6EBM,777,77W
B5920,330,332
BKPP,777,77W
JA868J,787,789
N360AA,32S,32B
N390HA,330,332
N600QX,CR7,CR7
N670AE,ERJ,ER4
N913NN,737,738
VHOQA,380,388
VHVXS,737,73H
N369AA,767,763
N818NN,737,738
N825AN,787,789
VHVFT,320,320
B5978,330,333
C830,737,73H
N282AY,330,332
N817AW,319,319
N836HK,ERJ,ER4
N9619V,M80,M80
VHOEI,747,744
A6EOL,380,388
B1049,330,332
N699AE,ERJ,ER4
N700UW,319,319
P2PXI,DH8,DH3
VHNXM,717,717
VHVQK,320,320
A6EEZ,380,388
AC702,777,77L
B18317,330,333
N126HQ,EMJ,E75
N315RJ,737,738
N778AN,777,772
N793AN,777,772
N816AE,ERD,ERD
N824AE,ERD,ERD
N924AN,737,738
VHEFR,76F,76Y
VNA892,350,359
ZKOKB,777,772
A6EDY,380,388
A6ENW,777,77W
AC832,787,788
B8385,330,333
BLAG,330,333
CFIUV,777,77L
CFRTU,787,789
N806AE,ERD,ERD
N931AN,737,738
N961TW,M80,M80
VHANN,EM2,EM2
VHVZK,737,73H
CCBEG,321,321
CCBJA,767,763
N696AE,ERJ,ER4
N751AN,777,772
A6EBE,777,77W
B300V,330,330
C829,737,73H
C839,737,73H
N203UW,757,752
N554UW,321,321
N568UW,321,321
N806NN,737,738
N946NN,737,738
A6EEH,380,388
CCBFJ,32S,320
JA837J,787,788
N759AN,777,772
N816AA,787,788
N927AN,737,738
N941NN,737,738
VHQPA,330,333
B1073,330,332
B18006,777,77W
BLJL,747,744
N423SW,CRJ,CRJ
N901EV,CRJ,CRJ
VHFKW,F50,F50
VHVYC,737,73H
VHZNH,787,789
A6EOM,380,388
CCBAK,32S,320
CFKAU,777,77L
N102HQ,EMJ,E75
N113HQ,EMJ,E75
N343AN,767,763
N573UW,321,321
N821AW,319,319
N825NN,737,738
VH376,DH8,DH3
VHEBC,330,332
VHVZW,737,73H
VNA894,350,359
C438,DH8,DH4
JA862J,787,789
N127UW,32S,320
N933NN,737,738
VHSBJ,DH8,DH3
VNA866,787,788
A6ENY,777,77W
C841,737,73H
N122US,32S,320
N157UW,321,321
N195AN,757,757
N225NN,EMJ,E75
N232NN,EMJ,E75
N561UW,321,321
N606AE,ERD,ERD
N727SK,CR7,CR7
N769US,319,319
N799AN,777,772
RPC3504,350,359
A6EGA,777,77W
B5967,330,333
CFGFZ,787,788
RPC8612,320,320
VHVGU,320,320
BKPO,777,77W
N658AW,32S,320
N765AN,777,772
N765US,319,319
N816AW,319,319
N902BC,ERJ,ER4
N967AN,737,738
VHNPU,100,100
N130AN,321,321
N303RG,737,7M8
N431YX,EMJ,E75
N70020,319,319
N896NN,737,738
N902AN,737,738
N965AN,737,738
VHNQE,100,100
VHTQZ,DH8,DH3
VHXJE,320,320
VHYQT,717,717
VHYQW,717,717
A6EVE,380,388
A6EWG,777,77L
B5941,330,332
C852,737,73H
N702UW,319,319
N891NN,737,738
N934AA,321,321
N9628W,M80,M80
N974UY,321,321
A6EBI,777,77W
B1111,787,789
N926NN,737,738
N970NN,737,738
VHFKG,100,100
VHVQC,320,320
A6EBX,777,77W
A6ENL,777,77W
A6EUP,380,388
BLRR,350,359
CCBHF,32S,320
N185UW,321,321
N603QX,CR7,CR7
N843AE,ERD,ERD
VHEBD,330,332
VHVXJ,737,73H
A6EDO,380,388
A6EGN,777,77W
A6EQP,777,77W
C805,737,73H
N127AA,321,321
N172US,321,321
N653AW,32S,320
N768AA,777,772
P2PXV,767,763
RPC9929,320,320
VHANV,EMJ,E70
VHXZM,737,73H
A6ENF,777,77W
A6ENT,777,77W
A6EPR,777,77W
N724UW,319,319
N783AN,777,772
N884NN,737,738
N9010R,319,319
VHLQF,DH8,DH4
VHVQA,32S,320
VHVZS,737,73H
B6549,330,332
C811,737,73H
CCBBG,787,789
N178US,321,321
N233NN,EMJ,E75
N665AW,32S,320
A6ENO,777,77W
A6EUU,380,388
B2043,777,773
C840,737,73H
CFIVW,777,77L
N789AN,777,772
VH03JJ,320,320
VHQPD,330,333
VHVGI,320,320
ECMTT,330,332
GSBTH,777,777
N184AN,757,757
N90024,319,319
RPC9903,320,320
TQM,DH8,DH3
C603,737,736
N540EG,CR7,CR7
VHVYA,737,73H
HL7755,777,77L
N631AE,ERJ,ER4
N930AN,737,738
N969TW,M80,M80
VHEBF,330,332
A6EUD,380,388
C301,737,7M8
CFRAM,777,77L
DQFJM,737,73H
ZSSXF,340,343
A6EDL,380,388
A6EQC,777,77W
B2003,777,773
BLRA,350,359
CCCQN,320,320
N435YX,EMJ,E75
N695AE,ERJ,ER4
N826AW,319,319
P2PXC,100,100
759EV,CR7,CR7
A6EMU,777,77W
B5908,330,332
C226,737,73W
N167AN,321,321
N764SK,CR7,CR7
N827NN,737,738
N829NN,737,738
VHOQL,380,388
VHVZG,737,73H
B16309,330,332
BLJB,747,744
CFVLZ,787,789
N123UW,319,319
N147AA,321,321
N740SK,CR7,CR7
N850AE,ERD,ERD
N903AA,321,321
C433,DH8,DH4
CCBFN,32S,320
CCBHB,32S,320
N204UW,321,321
N432YX,EMJ,E75
N726SK,CR7,CR7
N848AE,ERD,ERD
N967TW,M80,M80
VHOQH,380,388
VHSBB,DH8,DH3
VHVZP,737,73H
B8358,330,330
CCBBJ,787,788
N227NN,EMJ,E75
N562UW,321,321
N802AW,319,319
N824NN,737,738
ZKNNA,32S,32Q
N352PS,737,738
N370HA,330,332
N713SK,CR7,CR7
N815NN,737,738
N857AE,ERD,ERD
P2ANF,100,100
N114HQ,EMJ,E75
N131HQ,EMJ,E75
N349AN,767,763
N528EG,CR7,CR7
N654AE,ERJ,ER4
N757AN,777,772
N899NN,737,738
VHANK,EM2,EM2
A6EEL,380,388
BLJE,747,744
C002,737,73W
C259,737,73W
C801,737,73H
N104UW,32S,320
N198AA,757,757
N667AW,32S,320
N744P,319,319
N800AE,ERD,ERD
N818AL,787,788
N820NN,737,738
N860NN,737,738
VNA870,787,788
A6ECW,777,77W
BKPC,777,77W
CCBDC,767,763
N163AA,321,321
N229NN,EMJ,E75
N667GB,ERJ,ER4
A6EDI,380,388
A6EED,380,388
B6136,380,380
CCBBC,787,788
N505AE,EMJ,E75
N657AW,32S,320
N845AE,ERD,ERD
N918AE,ERJ,ER4
VH374,DH8,DH3
VHQOE,DH8,DH4
A6EEB,380,388
A6EGJ,777,77W
A6ENP,777,77W
C428,DH8,DH4
C671,767,76W
C826,737,73H
CCBEJ,321,321
DQFAD,737,7M8
HL7739,777,77L
JA741J,777,77W
N139AN,321,321
N424YX,EMJ,E75
N760AN,777,772
N856AE,ERD,ERD
N931NN,737,738
A6EPL,777,77W
N805AW,319,319
N908NN,737,738
N9621A,M80,M80
N982AN,737,738
N997AA,321,321
VHXMR,73F,73Y
ZSSXX,340,346
A6EDU,380,388
A6EGU,777,77W
BLAH,330,333
C213,737,73W
C262,737,73W
DQFN,737,73H
N101NN,32S,32B
N105HQ,EMJ,E75
N323RM,737,7M8
N581UW,321,321
N620AE,ERJ,ER4
N709SK,CR7,CR7
N834NN,737,738
N882NN,737,738
VHANW,EM2,EM2
ZSSNC,340,346
C836,737,73H
CCBAC,32S,320
N284AY,330,332
N301NW,737,738
N950NN,737,738
VHEBO,330,332
VHLQG,DH8,DH4
ZKOJH,32S,320
A6EEE,380,388
BKQZ,777,77W
N200NV,737,738
N343RY,737,7M8
N344AN,767,763
N616AE,ERJ,ER4
N678AW,320,320
N809NN,737,738
N815AE,ERD,ERD
N909EV,CRJ,CRJ
N981AN,737,738
A6EGD,777,77W
A6EGV,777,77W
C402,DH8,DH4
N813AE,ERD,ERD
N928EV,CRJ,CRJ
RPC3437,340,343
VHOEB,747,744
A6EEP,380,388
A6EGC,777,77W
AC842,787,788
N820AL,787,789
VHVGT,320,320
BKPF,777,77W
VHQOY,DH8,DH4
VHVFK,320,320
VHVLI,73F,73Y
ZSSXB,340,343
A6E00,380,388
A6EPP,777,77W
CCBAH,321,321
CCBFM,32S,320
N110UW,32S,320
N778SK,CR7,CR7
N850NN,737,738
A6EWH,777,77L
B6102,330,333
CFNOE,787,788
CFRSR,787,789
N165US,321,321
N178AA,757,757
N344PP,737,738
N921NN,737,738
N934AN,737,738
RPC8762,330,332
VHVZZ,737,73H
VHXWS,100,100
B18358,330,333
C217,737,73W
C612,737,736
N106HQ,EMJ,E75
N306PB,737,738
N381HA,330,332
N710SK,CR7,CR7
N837AN,787,789
N9013A,319,319
N906AE,ERJ,ER4
N925AE,ERJ,ER4
ZSSXA,340,343
ZSSXU,340,343
