rego,fleet,fleet_subtype
N942NN,737,738
N968NN,737,738
A6EDB,380,388
A6EUQ,380,388
B6070,330,332
N545UW,321,321
N747UW,319,319
VHSBW,DH8,DH3
B8360,330,330
BLNP,330,333
N157AA,321,321
N384HA,330,332
N698CB,ERJ,ER4
N70425,M80,M80
N778XF,319,319
N858AE,ERD,ERD
N907EV,CRJ,CRJ
VHZNE,787,789
A6EGS,777,77W
B16312,330,332
CCBFC,32S,320
CCCPF,32S,320
N182UW,321,321
VHFKF,100,100
VHXZB,737,73H
VHXZF,737,73H
A6E0B,380,388
A6ECB,777,77W
B5951,330,330
B8972,330,332
FOJSE,330,332
N271NN,EMJ,E75
N338RS,737,7M8
N651AE,ERJ,ER4
N944AN,737,738
N956NN,737,738
N959AN,737,738
A6ECX,777,77W
A6EVF,380,388
B5957,330,332
BKPQ,777,77W
N520DC,CR7,CR7
N9006,319,319
P2PDX,737,73G
ZKOKP,777,77W
A6EGK,777,77W
BKQU,777,77W
N834HA,330,332
VHVQP,320,320
ZKZQC,737,73H
B18318,330,333
BLJI,747,744
CCBEI,321,321
JA05JJ,JET,JET
N770AN,777,772
N831AA,787,789
N833AA,787,789
N852NN,737,738
N913US,321,321
P2ANU,100,100
ZSSXV,330,332
B8362,330,333
N390AA,767,763
N643AE,ERJ,ER4
N883NN,737,738
N930EV,CRJ,CRJ
RPC8771,330,332
VHVGV,320,320
VNA861,787,788
ZSSXE,340,343
C227,737,736
CCBEN,32S,320
N761ND,CR7,CR7
N771XF,319,319
P2PVX,737,73G
VHSWO,EMJ,E70
VHVZF,737,73H
A6EDA,380,388
B2040,777,773
JA839J,787,788
N111ZM,32S,32B
N355PU,737,738
N396HA,330,332
N535EA,CR7,CR7
N544UW,321,321
TQK,DH8,DH3
A6EQO,777,77W
AC844,787,788
C813,737,73H
CCBEA,321,321
CFVND,787,789
GSTBJ,777,777
N242NN,EMJ,E75
N532EA,CR7,CR7
N839AA,787,789
VHEBK,330,332
VHVXU,737,73H
ZKNND,32S,32Q
A6EWD,777,77L
B2006,777,773
BKPK,777,77W
JA871J,787,789
N754SK,CR7,CR7
N83AA,787,789
N958NN,737,738
VHOEE,747,744
VJAV8,737,73H
AC845,787,788
N117HQ,EMJ,E75
N174AA,757,757
N776SK,CR7,CR7
N9016,319,319
VHVZM,737,73H
VHVZT,737,73H
ZKOKH,777,772
A6EGZ,777,77W
A6ENJ,777,77W
BLAQ,330,333
N745SK,CR7,CR7
RPC9926,320,320
CCBDA,767,763
GSTBK,777,777
N177US,321,321
N444YX,EMJ,E75
N939NN,737,738
P2PXL,DH8,DH3
VH22JJ,320,320
ZKNHB,32S,32N
BHNR,777,77W
BLRO,350,359
CCBFS,32S,320
JS863J,787,789
N135HQ,EMJ,E75
N794AN,777,772
N819NN,737,738
N838AE,ERD,ERD
VHVZJ,737,73H
A6ECV,777,77W
N837AA,787,789
VHEBE,330,332
B8870,330,330
C426,DH8,DH4
C609,737,736
CCBGK,787,789
N527EA,CR7,CR7
N660AW,32S,320
N939AE,ERJ,ER4
P2ANN,DH8,DH3
VHQOP,DH8,DH4
VHVZA,737,73H
VHXMO,73F,73Y
BLJA,747,744
C230,737,73W
C430,DH8,DH4
N118HQ,EMJ,E75
N12028,321,321
N201UU,757,752
N378HA,330,332
N739MA,737,738
N851AE,ERD,ERD
N919NN,737,738
VHFKA,100,100
A6EQJ,777,77W
B6538,330,332
N196UW,321,321
N680AE,ERJ,ER4
N836NN,737,738
N838NN,737,738
N856NN,737,738
VHANO,EMJ,E70
VHLQB,DH8,DH4
VHVQS,32S,320
B5932,330,332
B7952,777,773
N138AN,321,321
N149AN,321,321
N252NN,EMJ,E75
N493MC,74F,74Y
N936AN,737,738
VHEBM,330,332
BLRN,350,359
N931AE,ERJ,ER4
N963NN,737,738
N979UY,321,321
RPC8789,330,333
