"id","change_attributes_block_ids","change_targetasrobject_id","change_targetasrobject_origin","change_targetasrobject_destination","change_targetasrobject_flightnumber","change_targetasrobject_carrier","change_targetasrobject_scheduledbase","timestamp1","source","actiontag","event_id","event_type","event_category","event_author","eventcreated","change_id","change_source","changetimestamp","scheduledstart","scheduledend","change_attributes_last_aircraft_assigned","eobt","eibt","change_attributes_last_delay_applied","change_attributes_last_delay_on_arrival_applied"
"WX_Other_SYD_190208T07:59__axhw6yM",,"QF_6126_SYD_OOL_19-02-09","SYD","OOL","6126","QF","","2019-02-08 18:55:46.000","gui:319288:actiontag:Create Flight-Leg~!~6126~!~VHVYI~!~Local__DRCHBQo","Create Flight-Leg","WX_Other_SYD_190208T07:59","Other","WX","bco07","2019-02-08 07:59:32.000","QF_6126_SYD_OOL_19-02-09__Ea1XV1A","gui:319288:actiontag:Create Flight-Leg~!~6126~!~VHVYI~!~Local__DRCHBQo","2019-02-08 18:54:04.000","2019-02-08 23:30:00.000","2019-02-09 00:55:00.000","",,,,
"MECH_MAINT_VHVXG_190519T02:24__c1i-weM",,"QF_6107_ADL_MEL_19-05-19","ADL","MEL","6107","QF","","2019-05-19 03:57:23.000","gui:319288:actiontag:Create Flight-Leg~!~6107~!~VHVXG~!~Local__KhzoFqg","Create Flight-Leg","MECH_MAINT_VHVXG_190519T02:24","MAINT","MECH","jdo91","2019-05-19 02:24:54.000","QF_6107_ADL_MEL_19-05-19__gmIqrTY","gui:319288:actiontag:Create Flight-Leg~!~6107~!~VHVXG~!~Local__KhzoFqg","2019-05-19 03:57:01.000","2019-05-19 08:40:00.000","2019-05-19 10:00:00.000","",,,,
"MECH-QLK_AOG_VHNXO_190518T02:22__4Qqf0wM",,"QF_6201_ASP_PER_19-05-19","ASP","PER","6201","QF","","2019-05-18 08:16:32.000","gui:202726:actiontag:Create Flight-Leg~!~6201~!~VHNXO~!~Local__B3eM3f0","Create Flight-Leg","MECH-QLK_AOG_VHNXO_190518T02:22","AOG","MECH-QLK","202726","2019-05-18 02:22:45.000","QF_6201_ASP_PER_19-05-19__2N9sdvw","gui:202726:actiontag:Create Flight-Leg~!~6201~!~VHNXO~!~Local__B3eM3f0","2019-05-18 08:08:03.000","2019-05-19 07:00:00.000","2019-05-19 10:20:00.000","",,,,
"PLAN-QLK_ALL_190519T20:48__yz1gVXo",,"QF_6711_ADL_SYD_19-05-21","ADL","SYD","6711","QF","","2019-05-19 23:21:51.000","gui:lka15:actiontag:Create Flight-Leg~!~6711~!~VHSBG~!~Local__AI6Q2B8","Create Flight-Leg","PLAN-QLK_ALL_190519T20:48","ALL","PLAN-QLK","196474","2019-05-19 20:48:07.000","QF_6711_ADL_SYD_19-05-21__IkJTx9s","gui:lka15:actiontag:Create Flight-Leg~!~6711~!~VHSBG~!~Local__AI6Q2B8","2019-05-19 23:20:09.000","2019-05-21 03:30:00.000","2019-05-21 06:25:00.000","",,,,
"PLAN-QLK_ALL_190519T20:48__12c7F9Y",,"QF_6710_SYD_ADL_19-05-21","SYD","ADL","6710","QF","","2019-05-19 23:21:51.000","gui:lka15:actiontag:Create Flight-Leg~!~6710~!~VHTQH~!~Local__OGeeOm0","Create Flight-Leg","PLAN-QLK_ALL_190519T20:48","ALL","PLAN-QLK","196474","2019-05-19 20:48:07.000","QF_6710_SYD_ADL_19-05-21__dDflaB4","gui:lka15:actiontag:Create Flight-Leg~!~6710~!~VHTQH~!~Local__OGeeOm0","2019-05-19 23:19:37.000","2019-05-21 00:00:00.000","2019-05-21 02:55:00.000","",,,,
"MECH-QLK_MAINT_VHNHP_190124T11:48__zxL14qg",,"QF_6683_ZNE_PER_19-01-25","ZNE","PER","6683","QF","","2019-01-25 01:40:53.000","gui:202726:actiontag:Create Flight-Leg~!~6683~!~VHNHP~!~Local__pCKNWR0","Create Flight-Leg","MECH-QLK_MAINT_VHNHP_190124T11:48","MAINT","MECH-QLK","197721","2019-01-24 11:48:10.000","QF_6683_ZNE_PER_19-01-25__dtrwQnE","gui:202726:actiontag:Create Flight-Leg~!~6683~!~VHNHP~!~Local__pCKNWR0","2019-01-25 01:38:16.000","2019-01-25 08:20:00.000","2019-01-25 10:10:00.000","",,,,
"MECH-QLK_MAINT_VHNHY_190124T00:55__Hk65WLc",,"QF_6681_GET_PER_19-01-25","GET","PER","6681","QF","","2019-01-24 23:53:34.000","gui:202726:actiontag:Create Flight-Leg~!~6681~!~VHNHY~!~Local__TXRFscY","Create Flight-Leg","MECH-QLK_MAINT_VHNHY_190124T00:55","MAINT","MECH-QLK","196475","2019-01-24 00:55:39.000","QF_6681_GET_PER_19-01-25__WGu8xwg","gui:202726:actiontag:Create Flight-Leg~!~6681~!~VHNHY~!~Local__TXRFscY","2019-01-24 23:52:56.000","2019-01-25 00:45:00.000","2019-01-25 01:40:00.000","",,,,
"OPER-QLK_TOW_VHNHY_190507T23:00__mg3EquQ",,"QF_6204_CBR_CNS_19-05-08","CBR","CNS","6204","QF","","2019-05-08 00:50:10.000","gui:197721:actiontag:Create Flight-Leg~!~6204~!~VHYQU~!~Local__bycgsNw","Create Flight-Leg","OPER-QLK_TOW_VHNHY_190507T23:00","TOW","OPER-QLK","197721","2019-05-07 23:00:22.000","QF_6204_CBR_CNS_19-05-08__oTg86Jk","gui:197721:actiontag:Create Flight-Leg~!~6204~!~VHYQU~!~Local__bycgsNw","2019-05-08 00:49:47.000","2019-05-08 08:30:00.000","2019-05-08 11:30:00.000","",,,,
"OPER-QLK_FA_QF_1753_CNS_BNE_19-05-08_190507T18:07__wjIkFzA",,"QF_6201_CNS_BNE_19-05-08","CNS","BNE","6201","QF","","2019-05-07 18:30:25.000","gui:108658:actiontag:Create Flight-Leg~!~6201~!~VHYQT~!~Local__hrIvP8M","Create Flight-Leg","OPER-QLK_FA_QF_1753_CNS_BNE_19-05-08_190507T18:07","FA","OPER-QLK","108658","2019-05-07 18:07:13.000","QF_6201_CNS_BNE_19-05-08__YpjFvE0","gui:108658:actiontag:Create Flight-Leg~!~6201~!~VHYQT~!~Local__hrIvP8M","2019-05-07 18:14:08.000","2019-05-07 19:25:00.000","2019-05-07 21:35:00.000","",,,,
"OPER-QLK_TOW_VHNHY_190507T23:00__4nicZA8",,"QF_6203_CNS_SYD_19-05-08","CNS","SYD","6203","QF","","2019-05-07 23:36:09.000","gui:197721:actiontag:Create Flight-Leg~!~6203~!~VHNXQ~!~Local__cyigKeY","Create Flight-Leg","OPER-QLK_TOW_VHNHY_190507T23:00","TOW","OPER-QLK","197721","2019-05-07 23:00:22.000","QF_6203_CNS_SYD_19-05-08__HArx4T8","gui:197721:actiontag:Create Flight-Leg~!~6203~!~VHNXQ~!~Local__cyigKeY","2019-05-07 23:36:02.000","2019-05-08 03:00:00.000","2019-05-08 06:00:00.000","",,,,
"MECH_MAINT_VHVYD_190507T03:05__zt1hNWU",,"QF_6112_MEL_SYD_19-05-07","MEL","SYD","6112","QF","","2019-05-07 03:15:18.000","gui:319288:actiontag:Create Flight-Leg~!~6112~!~VHVYD~!~Local__9PTLqIY","Create Flight-Leg","MECH_MAINT_VHVYD_190507T03:05","MAINT","MECH","267355","2019-05-07 03:05:02.000","QF_6112_MEL_SYD_19-05-07__86eDQNs","gui:319288:actiontag:Create Flight-Leg~!~6112~!~VHVYD~!~Local__9PTLqIY","2019-05-07 03:12:36.000","2019-05-07 07:35:00.000","2019-05-07 09:00:00.000","",,,,
"MECH-QLK_AOG_VHQOE_190226T03:33__R_uqdww",,"QF_6672_NTL_BNE_19-02-27","NTL","BNE","6672","QF","","2019-02-26 04:37:41.000","gui:cpe97:actiontag:Create Flight-Leg~!~6672~!~VHQOE~!~Local__xy1oZjY","Create Flight-Leg","MECH-QLK_AOG_VHQOE_190226T03:33","AOG","MECH-QLK","211872","2019-02-26 03:33:09.000","QF_6672_NTL_BNE_19-02-27__mujvQ6E","gui:cpe97:actiontag:Create Flight-Leg~!~6672~!~VHQOE~!~Local__xy1oZjY","2019-02-26 04:31:59.000","2019-02-26 19:45:00.000","2019-02-26 21:15:00.000","",,,,
"OPER-QLK_MVT_190318T18:08__3ZwY33s",,"QF_6712_SYD_BNE_19-03-23","SYD","BNE","6712","QF","","2019-03-22 03:37:08.000","gui:211872:actiontag:Create Flight-Leg~!~6712~!~VHSBB~!~Local__3mzBCTc","Create Flight-Leg","OPER-QLK_MVT_190318T18:08","MVT","OPER-QLK","cre27","2019-03-18 18:08:34.000","QF_6712_SYD_BNE_19-03-23__4iAYYg0","gui:211872:actiontag:Create Flight-Leg~!~6712~!~VHSBB~!~Local__3mzBCTc","2019-03-22 03:36:36.000","2019-03-22 19:00:00.000","2019-03-22 21:00:00.000","",,,,
